category,name,unit,unit_price_cad_low,unit_price_cad_typical,unit_price_cad_high,source_url,last_verified,notes
lumber,"LVL Beam 1.75"" x 9.5"" per linear foot (estimated)",lf,,8.00,,https://homeguide.com/costs/steel-beam-cost,2026-05-03,"Source: Ontario / Canada national range. Homeguide (2026 data): 1.75""x7.25""–11.25"" LVL = $3–$5/LF materials; Ontario contractor markup 50–100%. Estimated $7–$10/LF supply-only. Manual verification with Muskoka supplier recommended"
insulation,R-50 Blown-In Attic Insulation installed,sqft,,2.50,,https://konstruction.ca/resources/insulation-r-value-chart,2026-05-03,"Source: Ontario province range. Ontario installed rate 2026: fibreglass blown-in ~$1.90–$2.50/sqft installed; R-50 requires ~15–16"" of fibreglass. Range $2.00–$3.00/sqft for Muskoka; add 15–20% rural premium. Source: Konstruction Group mid-2026 Ontario data"
insulation,Spray Foam Closed-Cell (per board foot installed),board_foot,,2.00,,https://sprayfoamgl.ca/spray-foam-insulation-cost-ontario-2026/,2026-05-03,Source: Ontario province range. Ontario 2026: $1.25–$2.50/bf closed-cell installed. Use $1.75–$2.25 for mid-range Muskoka contractor rate. Source: SprayFoam GL Ontario 2026 guide. Manual quote recommended
flooring,Engineered Hardwood Mid-Grade (supply only),sqft,,8.00,,https://www.renocalc.ca/en/blog/flooring-installation-cost-canada,2026-05-03,Source: Ontario / Canada range. RenoCalc Feb 2026: $8–$16/sqft installed hardwood; material-only mid-grade estimated $6–$10/sqft CAD. Use $7–$9 supply; add $2–$4 install. Manual supplier quote recommended
flooring,Engineered Hardwood High-End (supply only),sqft,,12.00,,https://homeguide.com/costs/engineered-hardwood-flooring-cost,2026-05-03,Source: Ontario / Canada range. HomeGuide 2026: high-end (7+ core layers) $9–$16/sqft supply. Use $11–$14 for Muskoka mid-high tier. Manual supplier quote recommended
flooring,Luxury Vinyl Plank (LVP) Mid-Grade (supply only),sqft,,4.00,,https://www.peaceofmindinteriors.ca/blog/vinyl-flooring-vs-hardwood-cost-comparison-2025,2026-05-03,Source: Ontario / Canada range. Peace of Mind Interiors 2025: LVP CAD $2.79–$6.97/sqft; mid-grade ~$3.50–$5.00. Use $4.00 as mid-point
flooring,Porcelain Tile 12x24 Mid-Grade (supply only),sqft,,4.95,,https://shop.newcanadianslumber.com/p/12x24-segment-matte-porcelain-tile-ivory-price-per-square-foot/1224SEIV,2026-05-03,Source: Ontario / Canada range. New Canadians Lumber online: $1.99/sqft entry-level; mid-grade 12x24 porcelain ~$3.95–$5.95/sqft. Use $4.95 as representative mid-grade. Tile Stone Source CA confirmed $3.95–$4.95 range
flooring,Ceramic Tile 12x12 Builder Grade (supply only),sqft,,3.00,,https://shop.newcanadianslumber.com/p/12x24-segment-matte-porcelain-tile-ivory-price-per-square-foot/1224SEIV,2026-05-03,Source: Ontario / Canada range. Builder-grade ceramic 12x12 typically $1.99–$3.99/sqft in Ontario. Use $3.00 as a mid-point. Manual supplier verification recommended
flooring,Tile Thinset + Grout Materials (per sqft installed),sqft,,1.50,,https://www.dupontplumbing.com/blogs/the-good-book-of-bath/bathroom-renovation-costs-in-toronto-what-to-expec/,2026-05-03,Source: Ontario / Canada range. Material cost for thinset+grout: ~$1.00–$2.00/sqft combined. Use $1.50 as estimate. Verify with tile supplier
flooring,Heated Floor Mat 120V (supply only per sqft),sqft,,10.00,,https://www.warmlyyours.com/en-US/posts/How-Much-Does-Floor-Heating-Cost-2574,2026-05-03,Source: Ontario / Canada range. WarmlyYours 2026: electric mat systems $6–$12/sqft supply-only. Use $9–$12 for quality 120V mat. HD Canada QuietWarmth listing confirmed but price not shown. Manual quote recommended
